percent_paid,days,income,3-6_months,6-12_months,more_than_12_months,writing_score,paid_premiums,channel,area
0.429,12058.0,4.0,0.0,0.0,0.0,99.02,13.0,2,1
0.01,21546.0,4.0,0.0,0.0,0.0,99.89,21.0,0,1
0.917,17531.0,1.0,2.0,3.0,1.0,98.69,7.0,2,0
0.049,15341.0,3.0,0.0,0.0,0.0,99.57,9.0,0,1
0.052000000000000005,31400.0,3.0,0.0,0.0,0.0,99.87,12.0,1,1
0.54,17527.0,4.0,2.0,0.0,0.0,99.18,9.0,1,0
1.0,24829.0,2.0,0.0,0.0,0.0,99.05,11.0,1,1
1.0,21911.0,2.0,1.0,6.0,4.0,99.33,3.0,0,1
0.621,9868.0,1.0,0.0,0.0,0.0,99.58,4.0,0,1
0.9079999999999999,23008.0,1.0,2.0,0.0,0.0,98.91,11.0,0,0
0.051,17529.0,3.0,1.0,0.0,0.0,98.66,22.0,2,0
0.033,16075.0,2.0,0.0,0.0,0.0,97.03,7.0,1,1
1.0,16436.0,1.0,1.0,0.0,1.0,98.32,4.0,0,1
0.111,19723.0,2.0,0.0,0.0,0.0,99.59,9.0,0,1
0.027000000000000003,16430.0,2.0,0.0,0.0,1.0,98.7,13.0,3,1
0.963,12788.0,1.0,1.0,0.0,0.0,99.06,9.0,0,1
0.055,23010.0,5.0,0.0,0.0,0.0,99.66,10.0,0,1
0.125,22639.0,4.0,0.0,0.0,0.0,99.31,14.0,0,0
0.012,16433.0,1.0,0.0,0.0,0.0,97.83000000000001,5.0,0,0
0.0,11687.0,2.0,1.0,2.0,1.0,99.53,5.0,2,1
0.455,17530.0,2.0,0.0,0.0,0.0,99.22,31.0,0,1
0.22899999999999998,17895.0,5.0,0.0,0.0,0.0,99.07,10.0,0,0
0.307,24466.0,4.0,0.0,0.0,0.0,99.02,14.0,0,0
0.88,17161.0,3.0,1.0,0.0,1.0,99.72,21.0,2,0
0.87,16430.0,3.0,0.0,0.0,0.0,98.83,10.0,0,1
0.03,32495.0,4.0,0.0,0.0,0.0,99.89,9.0,0,1
0.0,8406.0,1.0,0.0,0.0,0.0,99.705,4.0,0,1
0.0,15342.0,3.0,0.0,0.0,0.0,99.84,7.0,2,1
0.0,22273.0,5.0,0.0,0.0,0.0,98.61,8.0,0,1
0.036000000000000004,21179.0,1.0,0.0,0.0,0.0,99.6,8.0,1,0
0.326,17895.0,3.0,0.0,0.0,0.0,98.79,11.0,0,0
0.39,15345.0,2.0,0.0,0.0,0.0,97.42,16.0,0,0
0.301,13513.0,2.0,0.0,0.0,0.0,97.44,15.0,0,1
0.016,11693.0,1.0,0.0,0.0,0.0,99.77,10.0,0,1
0.023,23007.0,3.0,0.0,0.0,0.0,98.94,22.0,0,1
0.135,13149.0,1.0,0.0,0.0,0.0,99.43,6.0,0,1
0.036000000000000004,21549.0,2.0,0.0,0.0,0.0,99.89,9.0,0,0
0.003,23000.0,4.0,0.0,0.0,0.0,99.57,23.0,0,1
0.631,16438.0,4.0,0.0,0.0,0.0,99.66,7.0,2,0
0.0,16799.0,1.0,0.0,0.0,0.0,98.81,6.0,0,0
0.945,17165.0,1.0,0.0,10.0,0.0,99.58,8.0,2,1
0.006999999999999999,10594.0,2.0,0.0,0.0,0.0,99.32,14.0,0,1
0.04,21545.0,4.0,0.0,0.0,0.0,99.52,8.0,1,1
0.0,21542.0,5.0,0.0,0.0,0.0,92.82,22.0,0,1
0.026000000000000002,26290.0,1.0,0.0,0.0,0.0,99.32,8.0,0,0
0.863,18992.0,1.0,3.0,1.0,2.0,98.77,11.0,1,1
0.273,18262.0,2.0,0.0,0.0,0.0,99.2,6.0,0,1
0.201,16800.0,3.0,0.0,0.0,0.0,99.05,9.0,3,0
