Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
1.0,49,4,1.6,1,0,1,0,0,0
19.0,34,3,1.5,1,0,1,0,0,0
15.0,11,1,1.0,1,0,0,0,0,0
9.0,100,1,2.7,2,0,0,0,0,0
8.0,45,4,1.0,2,0,0,0,0,1
13.0,29,4,0.4,2,155,0,0,1,0
27.0,72,2,1.5,2,0,0,0,1,0
24.0,22,1,0.3,3,0,0,0,0,1
10.0,81,3,0.6,2,104,0,0,1,0
9.0,180,1,8.9,3,0,0,0,0,0
39.0,105,4,2.4,3,0,0,0,0,0
5.0,45,3,0.1,2,0,0,0,1,0
23.0,114,2,3.8,3,0,1,0,0,0
32.0,40,4,2.5,2,0,0,0,1,0
41.0,112,1,2.0,1,0,1,0,0,0
30.0,22,1,1.5,3,0,0,0,1,1
14.0,130,4,4.7,3,134,0,0,0,0
18.0,81,4,2.4,1,0,0,0,0,0
21.0,193,2,8.1,3,0,0,0,0,0
28.0,21,1,0.5,2,0,1,0,0,1
31.0,25,4,0.9,2,111,0,0,1,0
27.0,63,3,2.0,3,0,0,0,1,0
5.0,62,1,1.2,1,260,0,0,1,0
18.0,43,2,0.7,1,163,1,0,0,0
11.0,152,2,3.9,1,159,0,0,0,1
19.0,29,3,0.5,1,97,0,0,1,0
16.0,83,4,0.2,3,0,0,0,0,0
20.0,158,1,2.4,1,0,0,0,1,1
30.0,48,1,2.2,3,0,0,0,1,1
13.0,119,1,3.3,2,0,0,1,1,1
35.0,35,1,1.2,3,122,0,0,1,0
16.0,29,1,2.0,2,0,0,0,1,0
28.0,41,2,0.6,3,193,0,0,0,0
6.0,18,3,0.9,3,0,0,0,0,0
5.0,50,4,1.8,3,0,0,0,1,0
24.0,81,3,0.7,1,0,0,0,0,0
35.0,121,1,2.9,1,0,0,0,0,1
25.0,71,1,1.4,3,198,0,0,0,0
18.0,141,3,5.0,3,0,1,1,1,0
13.0,80,4,0.7,3,285,0,0,1,0
32.0,84,3,1.6,3,0,1,0,0,0
9.0,60,3,2.3,1,0,0,0,0,0
7.0,132,4,1.1,2,412,0,0,1,0
15.0,45,1,0.7,1,0,0,0,1,0
20.0,104,1,5.7,1,0,0,0,1,1
31.0,52,4,2.5,1,0,0,0,0,1
14.0,43,3,0.7,2,153,0,0,1,0
12.0,194,4,0.2,3,211,1,1,1,1
26.0,81,2,4.5,3,0,0,0,0,1
16.0,49,1,1.8,1,0,0,0,0,1
8.0,8,4,0.7,2,0,1,0,1,0
37.0,131,1,2.9,1,0,0,0,1,0
6.0,72,1,0.1,1,207,0,0,0,0
26.0,190,3,2.1,3,240,0,0,1,0
5.0,44,1,0.2,3,0,0,0,1,0
17.0,139,2,8.0,1,0,0,0,1,0
30.0,29,3,0.1,2,0,1,1,1,0
31.0,131,2,1.2,3,0,0,0,0,0
2.0,93,2,0.2,1,0,0,0,0,0
5.0,188,2,4.5,1,455,0,0,0,0
24.0,39,3,1.7,2,0,1,0,1,0
21.0,125,1,5.7,1,112,1,0,0,0
18.0,22,1,1.0,1,0,0,0,0,0
17.0,32,4,0.0,2,0,0,0,1,0
23.0,105,2,3.3,1,0,0,0,0,0
35.0,131,1,3.8,1,0,0,0,1,1
36.0,105,2,2.8,1,336,0,0,0,0
23.0,45,4,2.0,3,132,1,0,0,0
21.0,60,3,2.1,1,0,0,0,1,1
29.0,20,4,0.2,1,0,0,0,1,0
18.0,115,1,3.5,1,0,0,0,0,1
29.0,69,4,1.0,2,0,0,0,1,0
20.0,130,1,5.0,1,0,0,0,0,1
16.0,85,1,4.0,3,0,0,0,1,1
3.0,135,2,3.3,1,0,0,0,0,1
7.0,135,4,3.8,2,0,0,1,1,1
32.0,12,3,0.3,3,0,0,0,0,0
20.0,29,3,0.5,2,0,0,0,0,0
30.0,133,2,2.6,3,0,0,0,0,0
26.0,19,2,0.4,1,118,0,0,1,0
36.0,41,4,1.3,1,174,0,0,1,1
22.0,40,3,2.7,2,0,0,0,1,0
16.0,82,1,4.0,3,0,0,0,1,0
9.0,50,1,2.4,2,0,0,0,0,0
22.0,18,1,0.9,3,0,0,0,1,0
2.0,109,4,1.8,3,0,0,0,0,0
16.0,42,4,2.2,2,126,0,0,0,0
22.0,78,3,1.1,1,0,0,0,1,0
41.0,51,2,1.1,1,0,0,0,1,0
30.0,118,4,5.6,2,0,0,0,1,0
10.0,29,4,1.1,3,0,0,0,1,0
19.0,34,3,0.6,2,0,0,0,0,0
34.0,64,2,1.7,3,236,1,0,1,0
39.0,121,1,2.0,1,0,0,0,0,0
12.0,48,4,0.2,3,0,0,0,1,0
15.0,80,1,5.2,1,0,0,0,0,0
28.0,161,1,2.9,1,0,0,0,1,0
23.0,94,1,0.3,1,0,0,0,1,0
41.0,15,3,0.1,3,0,0,0,1,0
23.0,74,1,1.2,1,0,0,0,1,0
36.0,30,3,1.3,2,0,0,0,0,0
23.0,44,3,1.0,3,198,0,0,1,1
18.0,22,2,0.3,2,0,0,0,1,0
32.0,38,4,1.3,1,166,0,0,1,1
0.0,35,3,0.1,2,0,1,0,1,0
17.0,69,4,2.9,1,0,0,0,1,1
18.0,43,1,0.7,1,136,0,0,0,0
7.0,32,1,0.6,3,166,0,0,1,0
17.0,49,1,2.8,1,0,0,0,1,0
14.0,9,3,1.0,2,0,0,0,0,0
38.0,45,4,1.3,2,0,0,0,1,0
15.0,82,3,1.0,1,309,0,0,0,0
34.0,92,2,2.8,1,103,0,0,0,0
14.0,39,3,0.5,3,0,0,0,1,0
40.0,81,3,1.8,2,0,0,0,1,0
29.0,35,1,1.5,2,0,0,0,1,0
33.0,61,2,2.3,3,193,0,0,1,0
16.0,73,3,3.0,1,0,0,0,1,0
7.0,112,1,4.6,1,366,0,0,0,0
29.0,12,2,0.2,3,0,0,0,1,0
26.0,38,3,0.9,3,0,0,0,1,0
32.0,73,2,0.7,2,0,0,0,1,1
13.0,84,1,3.6,2,0,1,0,0,0
15.0,78,4,2.4,1,118,0,0,1,0
35.0,80,3,0.5,1,0,0,0,1,0
5.0,115,2,1.3,1,101,0,0,1,1
8.0,82,1,2.7,2,251,0,0,1,0
14.0,74,2,0.0,1,0,1,0,1,0
16.0,70,3,0.5,3,0,0,0,0,1
4.0,81,3,1.5,1,276,0,0,1,0
34.0,149,4,7.2,2,0,0,1,1,1
1.0,51,2,1.75,3,0,0,0,0,0
4.0,39,3,1.1,2,0,0,0,1,0
29.0,98,3,1.8,2,0,0,0,0,0
33.0,45,4,2.1,1,0,0,0,1,1
32.0,49,4,2.5,2,0,0,0,1,0
25.0,128,2,0.4,1,0,0,0,0,0
34.0,42,3,1.5,1,0,1,1,0,1
35.0,18,1,1.2,3,0,0,0,1,0
25.0,31,2,0.4,3,161,0,0,1,1
11.0,58,3,2.0,1,149,0,0,1,1
9.0,48,1,2.1,3,0,0,0,0,1
1.0,54,4,1.6,1,0,0,0,1,1
23.0,70,2,1.5,2,0,0,0,0,0
35.0,124,1,7.4,1,0,0,0,0,1
19.0,84,1,2.67,2,0,0,0,1,1
25.0,83,4,3.6,3,188,0,0,1,0
28.0,163,2,0.4,1,116,0,0,1,0
22.0,42,3,2.2,2,0,0,0,0,0
22.0,118,2,7.5,1,0,0,1,1,1
0.0,132,3,6.5,3,0,0,0,0,1
32.0,24,1,1.3,1,0,0,0,1,1
36.0,22,2,1.0,1,0,1,1,1,1
29.0,58,4,1.3,3,0,0,0,0,0
0.0,60,4,1.6,1,0,0,0,1,0
0.0,15,4,0.4,1,0,0,0,0,1
17.0,83,4,2.67,1,0,0,0,1,1
6.0,79,2,1.5,3,0,0,0,1,1
35.0,41,4,1.7,2,0,1,0,1,0
0.0,134,4,6.5,3,0,0,0,0,0
35.0,80,2,2.8,1,0,0,0,1,0
12.0,52,1,2.0,1,0,0,0,0,0
4.0,70,4,2.6,1,0,0,0,1,0
27.0,92,2,1.1,1,0,1,0,0,0
1.0,43,1,1.5,1,0,0,0,1,0
1.0,21,3,1.0,2,0,0,0,0,0
9.0,23,3,0.9,3,0,0,0,1,1
26.0,13,4,1.0,1,0,0,0,1,0
1.0,112,4,2.1,3,0,0,0,0,1
1.0,138,2,2.0,1,0,0,0,1,0
28.0,11,3,0.4,1,0,1,0,0,0
13.0,171,2,7.8,1,0,0,0,1,0
34.0,42,4,1.5,1,0,0,0,1,1
17.0,168,2,7.9,2,0,0,0,1,0
20.0,85,4,1.1,2,0,1,0,1,0
25.0,44,3,1.0,2,135,0,0,1,0
3.0,65,4,1.8,2,244,0,0,0,0
29.0,24,4,0.2,1,0,0,0,1,1
37.0,11,1,0.1,1,0,0,0,1,0
27.0,38,2,1.0,3,164,0,0,1,0
12.0,10,4,0.7,2,81,0,0,0,0
0.0,135,1,1.5,1,0,0,0,1,0
3.0,148,3,4.1,1,0,0,0,1,0
26.0,63,2,1.5,2,0,1,0,1,0
14.0,115,1,1.0,3,0,0,0,1,0
