origin,cylinders,displacement,horsepower,weight,acceleration,year,name,Mileage
1,8,307.0,130,3504,12.0,1970,chevrolet chevelle malibu,18.000031885778057
1,8,350.0,165,3693,11.5,1970,buick skylark 320,15.000026571481715
1,8,318.0,150,3436,11.0,1970,plymouth satellite,18.000031885778057
1,8,304.0,150,3433,12.0,1970,amc rebel sst,16.00002834291383
1,8,302.0,140,3449,10.5,1970,ford torino,17.000030114345943
1,8,429.0,198,4341,10.0,1970,ford galaxie 500,15.000026571481715
1,8,454.0,220,4354,9.0,1970,chevrolet impala,14.000024800049596
1,8,440.0,215,4312,8.5,1970,plymouth fury iii,14.000024800049596
1,8,455.0,225,4425,10.0,1970,pontiac catalina,14.000024800049596
1,8,390.0,190,3850,8.5,1970,amc ambassador dpl,15.000026571481715
1,8,383.0,170,3563,10.0,1970,dodge challenger se,15.000026571481715
1,8,340.0,160,3609,8.0,1970,plymouth 'cuda 340,14.000024800049596
1,8,400.0,150,3761,9.5,1970,chevrolet monte carlo,15.000026571481715
1,8,455.0,225,3086,10.0,1970,buick estate wagon (sw),14.000024800049596
3,4,113.0,95,2372,15.0,1970,toyota corona mark ii,24.00004251437074
1,6,198.0,95,2833,15.5,1970,plymouth duster,22.000038971506513
1,6,199.0,97,2774,15.5,1970,amc hornet,18.000031885778057
1,6,200.0,85,2587,16.0,1970,ford maverick,21.0000372000744
3,4,97.0,88,2130,14.5,1970,datsun pl510,27.000047828667093
2,4,97.0,46,1835,20.5,1970,volkswagen 1131 deluxe sedan,26.00004605723497
2,4,110.0,87,2672,17.5,1970,peugeot 504,25.00004428580286
2,4,107.0,90,2430,14.5,1970,audi 100 ls,24.00004251437074
2,4,104.0,95,2375,17.5,1970,saab 99e,25.00004428580286
2,4,121.0,113,2234,12.5,1970,bmw 2002,26.00004605723497
1,6,199.0,90,2648,15.0,1970,amc gremlin,21.0000372000744
1,8,360.0,215,4615,14.0,1970,ford f250,10.000017714321144
1,8,307.0,200,4376,15.0,1970,chevy c20,10.000017714321144
1,8,318.0,210,4382,13.5,1970,dodge d200,11.000019485753258
1,8,304.0,193,4732,18.5,1970,hi 1200d,9.000015942889029
3,4,97.0,88,2130,14.5,1971,datsun pl510,27.000047828667093
1,4,140.0,90,2264,15.5,1971,chevrolet vega 2300,28.000049600099192
3,4,113.0,95,2228,14.0,1971,toyota corona,25.00004428580286
1,4,98.0,?,2046,19.0,1971,ford pinto,25.00004428580286
1,6,232.0,100,2634,13.0,1971,amc gremlin,19.00003365721017
1,6,225.0,105,3439,15.5,1971,plymouth satellite custom,16.00002834291383
1,6,250.0,100,3329,15.5,1971,chevrolet chevelle malibu,17.000030114345943
1,6,250.0,88,3302,15.5,1971,ford torino 500,19.00003365721017
1,6,232.0,100,3288,15.5,1971,amc matador,18.000031885778057
1,8,350.0,165,4209,12.0,1971,chevrolet impala,14.000024800049596
1,8,400.0,175,4464,11.5,1971,pontiac catalina brougham,14.000024800049596
1,8,351.0,153,4154,13.5,1971,ford galaxie 500,14.000024800049596
1,8,318.0,150,4096,13.0,1971,plymouth fury iii,14.000024800049596
1,8,383.0,180,4955,11.5,1971,dodge monaco (sw),12.000021257185372
1,8,400.0,170,4746,12.0,1971,ford country squire (sw),13.000023028617486
1,8,400.0,175,5140,12.0,1971,pontiac safari (sw),13.000023028617486
1,6,258.0,110,2962,13.5,1971,amc hornet sportabout (sw),18.000031885778057
1,4,140.0,72,2408,19.0,1971,chevrolet vega (sw),22.000038971506513
1,6,250.0,100,3282,15.0,1971,pontiac firebird,19.00003365721017
1,6,250.0,88,3139,14.5,1971,ford mustang,18.000031885778057
1,4,122.0,86,2220,14.0,1971,mercury capri 2000,23.00004074293863
2,4,116.0,90,2123,14.0,1971,opel 1900,28.000049600099192
2,4,79.0,70,2074,19.5,1971,peugeot 304,30.00005314296343
2,4,88.0,76,2065,14.5,1971,fiat 124b,30.00005314296343
3,4,71.0,65,1773,19.0,1971,toyota corolla 1200,31.000054914395545
3,4,72.0,69,1613,18.0,1971,datsun 1200,35.000062000124
2,4,97.0,60,1834,19.0,1971,volkswagen model 111,27.000047828667093
1,4,91.0,70,1955,20.5,1971,plymouth cricket,26.00004605723497
3,4,113.0,95,2278,15.5,1972,toyota corona hardtop,24.00004251437074
1,4,97.5,80,2126,17.0,1972,dodge colt hardtop,25.00004428580286
2,4,97.0,54,2254,23.5,1972,volkswagen type 3,23.00004074293863
1,4,140.0,90,2408,19.5,1972,chevrolet vega,20.00003542864229
1,4,122.0,86,2226,16.5,1972,ford pinto runabout,21.0000372000744
1,8,350.0,165,4274,12.0,1972,chevrolet impala,13.000023028617486
1,8,400.0,175,4385,12.0,1972,pontiac catalina,14.000024800049596
1,8,318.0,150,4135,13.5,1972,plymouth fury iii,15.000026571481715
1,8,351.0,153,4129,13.0,1972,ford galaxie 500,14.000024800049596
1,8,304.0,150,3672,11.5,1972,amc ambassador sst,17.000030114345943
1,8,429.0,208,4633,11.0,1972,mercury marquis,11.000019485753258
1,8,350.0,155,4502,13.5,1972,buick lesabre custom,13.000023028617486
1,8,350.0,160,4456,13.5,1972,oldsmobile delta 88 royale,12.000021257185372
1,8,400.0,190,4422,12.5,1972,chrysler newport royal,13.000023028617486
3,3,70.0,97,2330,13.5,1972,mazda rx2 coupe,19.00003365721017
1,8,304.0,150,3892,12.5,1972,amc matador (sw),15.000026571481715
1,8,307.0,130,4098,14.0,1972,chevrolet chevelle concours (sw),13.000023028617486
1,8,302.0,140,4294,16.0,1972,ford gran torino (sw),13.000023028617486
1,8,318.0,150,4077,14.0,1972,plymouth satellite custom (sw),14.000024800049596
2,4,121.0,112,2933,14.5,1972,volvo 145e (sw),18.000031885778057
2,4,121.0,76,2511,18.0,1972,volkswagen 411 (sw),22.000038971506513
2,4,120.0,87,2979,19.5,1972,peugeot 504 (sw),21.0000372000744
2,4,96.0,69,2189,18.0,1972,renault 12 (sw),26.00004605723497
1,4,122.0,86,2395,16.0,1972,ford pinto (sw),22.000038971506513
3,4,97.0,92,2288,17.0,1972,datsun 510 (sw),28.000049600099192
3,4,120.0,97,2506,14.5,1972,toyouta corona mark ii (sw),23.00004074293863
1,4,98.0,80,2164,15.0,1972,dodge colt (sw),28.000049600099192
3,4,97.0,88,2100,16.5,1972,toyota corolla 1600 (sw),27.000047828667093
1,8,350.0,175,4100,13.0,1973,buick century 350,13.000023028617486
1,8,304.0,150,3672,11.5,1973,amc matador,14.000024800049596
1,8,350.0,145,3988,13.0,1973,chevrolet malibu,13.000023028617486
1,8,302.0,137,4042,14.5,1973,ford gran torino,14.000024800049596
1,8,318.0,150,3777,12.5,1973,dodge coronet custom,15.000026571481715
1,8,429.0,198,4952,11.5,1973,mercury marquis brougham,12.000021257185372
1,8,400.0,150,4464,12.0,1973,chevrolet caprice classic,13.000023028617486
1,8,351.0,158,4363,13.0,1973,ford ltd,13.000023028617486
1,8,318.0,150,4237,14.5,1973,plymouth fury gran sedan,14.000024800049596
1,8,440.0,215,4735,11.0,1973,chrysler new yorker brougham,13.000023028617486
1,8,455.0,225,4951,11.0,1973,buick electra 225 custom,12.000021257185372
1,8,360.0,175,3821,11.0,1973,amc ambassador brougham,13.000023028617486
1,6,225.0,105,3121,16.5,1973,plymouth valiant,18.000031885778057
1,6,250.0,100,3278,18.0,1973,chevrolet nova custom,16.00002834291383
1,6,232.0,100,2945,16.0,1973,amc hornet,18.000031885778057
1,6,250.0,88,3021,16.5,1973,ford maverick,18.000031885778057
1,6,198.0,95,2904,16.0,1973,plymouth duster,23.00004074293863
2,4,97.0,46,1950,21.0,1973,volkswagen super beetle,26.00004605723497
1,8,400.0,150,4997,14.0,1973,chevrolet impala,11.000019485753258
1,8,400.0,167,4906,12.5,1973,ford country,12.000021257185372
1,8,360.0,170,4654,13.0,1973,plymouth custom suburb,13.000023028617486
1,8,350.0,180,4499,12.5,1973,oldsmobile vista cruiser,12.000021257185372
1,6,232.0,100,2789,15.0,1973,amc gremlin,18.000031885778057
3,4,97.0,88,2279,19.0,1973,toyota carina,20.00003542864229
1,4,140.0,72,2401,19.5,1973,chevrolet vega,21.0000372000744
3,4,108.0,94,2379,16.5,1973,datsun 610,22.000038971506513
3,3,70.0,90,2124,13.5,1973,maxda rx3,18.000031885778057
1,4,122.0,85,2310,18.5,1973,ford pinto,19.00003365721017
1,6,155.0,107,2472,14.0,1973,mercury capri v6,21.0000372000744
2,4,98.0,90,2265,15.5,1973,fiat 124 sport coupe,26.00004605723497
1,8,350.0,145,4082,13.0,1973,chevrolet monte carlo s,15.000026571481715
1,8,400.0,230,4278,9.5,1973,pontiac grand prix,16.00002834291383
2,4,68.0,49,1867,19.5,1973,fiat 128,29.00005137153131
2,4,116.0,75,2158,15.5,1973,opel manta,24.00004251437074
2,4,114.0,91,2582,14.0,1973,audi 100ls,20.00003542864229
2,4,121.0,112,2868,15.5,1973,volvo 144ea,19.00003365721017
1,8,318.0,150,3399,11.0,1973,dodge dart custom,15.000026571481715
2,4,121.0,110,2660,14.0,1973,saab 99le,24.00004251437074
3,6,156.0,122,2807,13.5,1973,toyota mark ii,20.00003542864229
1,8,350.0,180,3664,11.0,1973,oldsmobile omega,11.000019485753258
1,6,198.0,95,3102,16.5,1974,plymouth duster,20.00003542864229
1,6,200.0,?,2875,17.0,1974,ford maverick,21.0000372000744
1,6,232.0,100,2901,16.0,1974,amc hornet,19.00003365721017
1,6,250.0,100,3336,17.0,1974,chevrolet nova,15.000026571481715
3,4,79.0,67,1950,19.0,1974,datsun b210,31.000054914395545
